L1;L2;L3;L4;L5;L6;L7;L8
acoustic music;acoustic rock;;;;;;
acoustic music;author acoustic song;;;;;;
acoustic music;singer-songwriter music;alternative singer-songwriter music;;;;;
acoustic music;singer-songwriter music;bard song;author acoustic song;;;;
acoustic music;singer-songwriter music;bard song;bard rock;;;;
acoustic music;singer-songwriter music;cantautor music;;;;;
acoustic music;singer-songwriter music;canzone d'autore;;;;;
acoustic music;singer-songwriter music;chanson à texte;;;;;
acoustic music;singer-songwriter music;contemporary singer-songwriter music;;;;;
acoustic music;singer-songwriter music;euskal kantagintza berria;;;;;
acoustic music;singer-songwriter music;kleinkunst;;;;;
acoustic music;singer-songwriter music;Liedermacher;;;;;
acoustic music;singer-songwriter music;música de intervenção;;;;;
acoustic music;singer-songwriter music;nova cançó;;;;;
acoustic music;singer-songwriter music;nueva canción;nueva canción española;;;;
acoustic music;singer-songwriter music;nueva canción;nueva canción latinoamericana;canto popular uruguayo;;;
acoustic music;singer-songwriter music;nueva canción;nueva canción latinoamericana;nueva canción chilena;canto nuevo;;
acoustic music;singer-songwriter music;nueva canción;nueva canción latinoamericana;nueva trova;;;
acoustic music;singer-songwriter music;nueva canción;nueva canción latinoamericana;nuevo cancionero;;;
acoustic music;singer-songwriter music;nòva cançon;;;;;
acoustic music;singer-songwriter music;sung poetry;poezja śpiewana;;;;
alternative music;adult album alternative;new acoustic movement;;;;;
alternative music;alternative country;Denver sound;;;;;
alternative music;alternative country;gothic country;Denver sound;;;;
alternative music;alternative folk;;;;;;
alternative music;alternative hip-hop;hipster hop;;;;;
alternative music;alternative hip-hop;leftfield hip hop;;;;;
alternative music;alternative metal;emo rap;emo trap;;;;
alternative music;alternative metal;funk metal;;;;;
alternative music;alternative metal;Neue Deutsche Härte;;;;;
alternative music;alternative metal;nu metal;nu metalcore;;;;
alternative music;alternative metal;nu metal;reggaeton underground;trapeton;;;
alternative music;alternative metal;rap metal;;;;;
alternative music;alternative pop;dark pop;;;;;
alternative music;alternative punk;;;;;;
alternative music;alternative rock;alternative dance;grebo;;;;
alternative music;alternative rock;alternative dance;new rave;;;;
alternative music;alternative rock;baggy;;;;;
alternative music;alternative rock;Britpop;Britpop revival;;;;
alternative music;alternative rock;Britpop;neo-glam;;;;
alternative music;alternative rock;Christian alternative rock;Christian ska;;;;
alternative music;alternative rock;college rock;cuddlecore;;;;
alternative music;alternative rock;dark rock;;;;;
alternative music;alternative rock;emo;e-punk;incelcore;;;
alternative music;alternative rock;emo;emo pop;;;;
alternative music;alternative rock;emo;emo revival;;;;
alternative music;alternative rock;emo;emo rock;;;;
alternative music;alternative rock;emo;emotional hardcore;;;;
alternative music;alternative rock;emo;Gekijou;;;;
alternative music;alternative rock;emo;mall screamo;;;;
alternative music;alternative rock;emo;Midwest emo;;;;
alternative music;alternative rock;emo;screamo;emo violence;;;
alternative music;alternative rock;emo;screamo;screamo rap;;;
alternative music;alternative rock;emo pop;;;;;
alternative music;alternative rock;geek rock;nerd punk;;;;
alternative music;alternative rock;geek rock;Time Lord rock;;;;
alternative music;alternative rock;geek rock;wizard rock;;;;
alternative music;alternative rock;gothic rock;deathrock;batcave;;;
alternative music;alternative rock;gothic rock;deathrock;death country;;;
alternative music;alternative rock;gothic rock;ethereal wave;;;;
alternative music;alternative rock;gothic rock;gothic punk;;;;
alternative music;alternative rock;gothic rock;gothic symphonic rock;;;;
alternative music;alternative rock;grunge;grunge revival;;;;
alternative music;alternative rock;grunge;grungecore;;;;
alternative music;alternative rock;grunge;grungegaze;;;;
alternative music;alternative rock;indie rock;Australian indie rock;;;;
alternative music;alternative rock;indie rock;blog rock;;;;
alternative music;alternative rock;indie rock;chamber rock;;;;
alternative music;alternative rock;indie rock;college rock;cuddlecore;;;
alternative music;alternative rock;indie rock;dolewave;;;;
alternative music;alternative rock;indie rock;dream pop;;;;
alternative music;alternative rock;indie rock;Dunedin sound;;;;
alternative music;alternative rock;indie rock;garage rock revival;;;;
alternative music;alternative rock;indie rock;grindie;;;;
alternative music;alternative rock;indie rock;Hamburger Schule;;;;
alternative music;alternative rock;indie rock;Hoboken sound;;;;
alternative music;alternative rock;indie rock;indie surf;;;;
alternative music;alternative rock;indie rock;Landfill indie;;;;
alternative music;alternative rock;indie rock;math pop;;;;
alternative music;alternative rock;indie rock;Midwest emo;;;;
alternative music;alternative rock;indie rock;new rave;;;;
alternative music;alternative rock;indie rock;New Yorkshire;;;;
alternative music;alternative rock;indie rock;noise pop;;;;
alternative music;alternative rock;indie rock;post-punk revival;dance-punk revival;;;
alternative music;alternative rock;indie rock;slacker rock;shitgaze;;;
alternative music;alternative rock;indie rock;slowcore;;;;
alternative music;alternative rock;indie rock;twee pop;cuddlecore;;;
alternative music;alternative rock;Iranian alternative rock;;;;;
alternative music;alternative rock;jangle pop;alternative CCM;;;;
